"Local Area (2011 LSOA)","Name","Overall rank(2019)","Quintile","Income(2019)","Quintile","Employment(2019)","Quintile","Health(2019)","Quintile","Education(2019)","Quintile","Access to Services(2019)","Quintile","Housing(2019)","Quintile","Community Safety(2019)","Quintile","Physical Environment(2019)","Quintile",
"W01000027","W01000027 - Llanidan","954","31%-50% most deprived","1079","50% least deprived","1152","50% least deprived","1102","50% least deprived","963","50% least deprived","248","11%-20% most deprived","194","11%-20% most deprived","1383","50% least deprived","1682","50% least deprived",
"W01000028","W01000028 - Llannerch-y-medd","727","31%-50% most deprived","858","31%-50% most deprived","940","31%-50% most deprived","1090","50% least deprived","865","31%-50% most deprived","90","10% most deprived","237","11%-20% most deprived","1593","50% least deprived","1318","50% least deprived",
"W01000029","W01000029 - London Road","366","11%-20% most deprived","246","11%-20% most deprived","210","11%-20% most deprived","450","21%-30% most deprived","525","21%-30% most deprived","1029","50% least deprived","900","31%-50% most deprived","378","11%-20% most deprived","1844","50% least deprived",
"W01000030","W01000030 - Maeshyfryd","353","11%-20% most deprived","247","11%-20% most deprived","287","11%-20% most deprived","347","11%-20% most deprived","377","11%-20% most deprived","778","31%-50% most deprived","1020","50% least deprived","553","21%-30% most deprived","1837","50% least deprived",
"W01000031","W01000031 - Mechell","864","31%-50% most deprived","878","31%-50% most deprived","842","31%-50% most deprived","1322","50% least deprived","1194","50% least deprived","131","10% most deprived","305","11%-20% most deprived","1683","50% least deprived","1700","50% least deprived",
"W01000032","W01000032 - Moelfre","1053","50% least deprived","879","31%-50% most deprived","875","31%-50% most deprived","1392","50% least deprived","917","31%-50% most deprived","330","11%-20% most deprived","1088","50% least deprived","1728","50% least deprived","1703","50% least deprived",
"W01000033","W01000033 - Morawelon","224","11%-20% most deprived","198","11%-20% most deprived","178","10% most deprived","263","11%-20% most deprived","338","11%-20% most deprived","387","21%-30% most deprived","1541","50% least deprived","116","10% most deprived","1899","50% least deprived",
"W01000034","W01000034 - Parc a'r Mynydd","1196","50% least deprived","974","50% least deprived","1038","50% least deprived","1190","50% least deprived","841","31%-50% most deprived","747","31%-50% most deprived","1818","50% least deprived","608","31%-50% most deprived","1887","50% least deprived",
"W01000035","W01000035 - Pentraeth","1087","50% least deprived","1136","50% least deprived","1215","50% least deprived","1326","50% least deprived","1325","50% least deprived","173","10% most deprived","346","11%-20% most deprived","1470","50% least deprived","1662","50% least deprived",
"W01000036","W01000036 - Porthyfelin 1","316","11%-20% most deprived","230","11%-20% most deprived","196","11%-20% most deprived","583","31%-50% most deprived","292","11%-20% most deprived","1021","50% least deprived","954","31%-50% most deprived","251","11%-20% most deprived","1540","50% least deprived",
"W01000037","W01000037 - Porthyfelin 2","974","50% least deprived","730","31%-50% most deprived","730","31%-50% most deprived","935","31%-50% most deprived","589","31%-50% most deprived","1291","50% least deprived","1712","50% least deprived","860","31%-50% most deprived","1904","50% least deprived",
"W01000038","W01000038 - Rhosyr","764","31%-50% most deprived","794","31%-50% most deprived","899","31%-50% most deprived","937","31%-50% most deprived","696","31%-50% most deprived","223","11%-20% most deprived","415","21%-30% most deprived","1340","50% least deprived","1545","50% least deprived",
"W01000039","W01000039 - Trearddur 1","1409","50% least deprived","1431","50% least deprived","1632","50% least deprived","1314","50% least deprived","1692","50% least deprived","168","10% most deprived","1219","50% least deprived","1458","50% least deprived","1078","50% least deprived",
"W01000040","W01000040 - Trearddur 2","1325","50% least deprived","1389","50% least deprived","1393","50% least deprived","1397","50% least deprived","1663","50% least deprived","192","11%-20% most deprived","881","31%-50% most deprived","1031","50% least deprived","1161","50% least deprived",
"W01000041","W01000041 - Tudur","308","11%-20% most deprived","188","10% most deprived","367","11%-20% most deprived","454","21%-30% most deprived","325","11%-20% most deprived","282","11%-20% most deprived","1307","50% least deprived","323","11%-20% most deprived","1818","50% least deprived",
"W01000042","W01000042 - Tysilio","1442","50% least deprived","1161","50% least deprived","1198","50% least deprived","1223","50% least deprived","1270","50% least deprived","1139","50% least deprived","1344","50% least deprived","792","31%-50% most deprived","1854","50% least deprived",
"W01000043","W01000043 - Valley 1","915","31%-50% most deprived","590","31%-50% most deprived","894","31%-50% most deprived","833","31%-50% most deprived","730","31%-50% most deprived","1178","50% least deprived","1781","50% least deprived","949","31%-50% most deprived","621","31%-50% most deprived",
"W01000044","W01000044 - Valley 2","1716","50% least deprived","1658","50% least deprived","1511","50% least deprived","1518","50% least deprived","1592","50% least deprived","862","31%-50% most deprived","1668","50% least deprived","1876","50% least deprived","1506","50% least deprived",
"W01000047","W01000047 - Abererch","1234","50% least deprived","1338","50% least deprived","1274","50% least deprived","1403","50% least deprived","1399","50% least deprived","228","11%-20% most deprived","403","21%-30% most deprived","1591","50% least deprived","1374","50% least deprived",
"W01000048","W01000048 - Abermaw 1","907","31%-50% most deprived","883","31%-50% most deprived","1044","50% least deprived","1037","50% least deprived","627","31%-50% most deprived","234","11%-20% most deprived","1291","50% least deprived","1076","50% least deprived","1194","50% least deprived",
"W01000049","W01000049 - Abermaw 2","1037","50% least deprived","963","50% least deprived","923","31%-50% most deprived","1643","50% least deprived","592","31%-50% most deprived","1329","50% least deprived","281","11%-20% most deprived","552","21%-30% most deprived","1882","50% least deprived",
"W01000050","W01000050 - Arllechwedd","855","31%-50% most deprived","927","31%-50% most deprived","845","31%-50% most deprived","1428","50% least deprived","1499","50% least deprived","205","11%-20% most deprived","197","11%-20% most deprived","707","31%-50% most deprived","897","31%-50% most deprived",
"W01000051","W01000051 - Bala","1167","50% least deprived","934","31%-50% most deprived","969","50% least deprived","1094","50% least deprived","890","31%-50% most deprived","1295","50% least deprived","1278","50% least deprived","845","31%-50% most deprived","922","31%-50% most deprived",
"W01000052","W01000052 - Bethel & Cwm-y-Glo 1","1606","50% least deprived","1636","50% least deprived","1725","50% least deprived","1237","50% least deprived","1473","50% least deprived","632","31%-50% most deprived","811","31%-50% most deprived","1840","50% least deprived","1908","50% least deprived",
"W01000053","W01000053 - Bethel & Cwm-y-Glo 2","1320","50% least deprived","1650","50% least deprived","1788","50% least deprived","1664","50% least deprived","1575","50% least deprived","209","11%-20% most deprived","86","10% most deprived","1346","50% least deprived","1520","50% least deprived",
"W01000054","W01000054 - Bontnewydd","1394","50% least deprived","1455","50% least deprived","1389","50% least deprived","1348","50% least deprived","1522","50% least deprived","308","11%-20% most deprived","1105","50% least deprived","755","31%-50% most deprived","1446","50% least deprived",
"W01000056","W01000056 - Bowydd and Rhiw","558","21%-30% most deprived","616","31%-50% most deprived","648","31%-50% most deprived","709","31%-50% most deprived","761","31%-50% most deprived","399","21%-30% most deprived","177","10% most deprived","327","11%-20% most deprived","1524","50% least deprived",
"W01000057","W01000057 - Brithdir and Llanfachreth/Ganllwyd/Llanelltyd","889","31%-50% most deprived","1448","50% least deprived","1407","50% least deprived","1567","50% least deprived","1148","50% least deprived","62","10% most deprived","22","10% most deprived","1577","50% least deprived","1219","50% least deprived",
