"Local Area (2011 LSOA)","Name","Overall rank(2019)","Quintile","Income(2019)","Quintile","Employment(2019)","Quintile","Health(2019)","Quintile","Education(2019)","Quintile","Access to Services(2019)","Quintile","Housing(2019)","Quintile","Community Safety(2019)","Quintile","Physical Environment(2019)","Quintile",
"W01000382","W01000382 - Hermitage 2","333","11%-20% most deprived","262","11%-20% most deprived","294","11%-20% most deprived","313","11%-20% most deprived","359","11%-20% most deprived","1032","50% least deprived","1503","50% least deprived","92","10% most deprived","1819","50% least deprived",
"W01000383","W01000383 - Holt 1","1384","50% least deprived","1625","50% least deprived","1668","50% least deprived","1584","50% least deprived","1501","50% least deprived","274","11%-20% most deprived","1522","50% least deprived","88","10% most deprived","1292","50% least deprived",
"W01000384","W01000384 - Holt 2","1752","50% least deprived","1492","50% least deprived","1481","50% least deprived","1888","50% least deprived","1294","50% least deprived","1832","50% least deprived","1641","50% least deprived","1485","50% least deprived","1544","50% least deprived",
"W01000385","W01000385 - Johnstown 1","1737","50% least deprived","1654","50% least deprived","1585","50% least deprived","1255","50% least deprived","1439","50% least deprived","1714","50% least deprived","1643","50% least deprived","1210","50% least deprived","1739","50% least deprived",
"W01000386","W01000386 - Johnstown 2","665","31%-50% most deprived","591","31%-50% most deprived","708","31%-50% most deprived","374","11%-20% most deprived","434","21%-30% most deprived","1357","50% least deprived","1245","50% least deprived","564","21%-30% most deprived","1670","50% least deprived",
"W01000387","W01000387 - Little Acton 1","1849","50% least deprived","1819","50% least deprived","1716","50% least deprived","1641","50% least deprived","1614","50% least deprived","1750","50% least deprived","1559","50% least deprived","1302","50% least deprived","1516","50% least deprived",
"W01000388","W01000388 - Little Acton 2","1572","50% least deprived","1331","50% least deprived","1176","50% least deprived","1446","50% least deprived","1428","50% least deprived","1781","50% least deprived","965","50% least deprived","1327","50% least deprived","1344","50% least deprived",
"W01000389","W01000389 - Llangollen Rural","1337","50% least deprived","1325","50% least deprived","1454","50% least deprived","1253","50% least deprived","1336","50% least deprived","278","11%-20% most deprived","777","31%-50% most deprived","1324","50% least deprived","1715","50% least deprived",
"W01000390","W01000390 - Llay 1","1359","50% least deprived","1426","50% least deprived","1401","50% least deprived","809","31%-50% most deprived","1252","50% least deprived","468","21%-30% most deprived","1698","50% least deprived","927","31%-50% most deprived","1580","50% least deprived",
"W01000391","W01000391 - Llay 2","1347","50% least deprived","1412","50% least deprived","1195","50% least deprived","773","31%-50% most deprived","838","31%-50% most deprived","1421","50% least deprived","1328","50% least deprived","833","31%-50% most deprived","1660","50% least deprived",
"W01000392","W01000392 - Llay 3","383","21%-30% most deprived","391","21%-30% most deprived","490","21%-30% most deprived","133","10% most deprived","288","11%-20% most deprived","817","31%-50% most deprived","955","31%-50% most deprived","679","31%-50% most deprived","1749","50% least deprived",
"W01000393","W01000393 - Maesydre","962","50% least deprived","829","31%-50% most deprived","1095","50% least deprived","775","31%-50% most deprived","757","31%-50% most deprived","1531","50% least deprived","1071","50% least deprived","81","10% most deprived","1643","50% least deprived",
"W01000394","W01000394 - Marchwiel 1","1441","50% least deprived","1824","50% least deprived","1794","50% least deprived","1542","50% least deprived","1331","50% least deprived","146","10% most deprived","989","50% least deprived","747","31%-50% most deprived","1513","50% least deprived",
"W01000395","W01000395 - Marchwiel 2","1357","50% least deprived","1137","50% least deprived","1283","50% least deprived","764","31%-50% most deprived","1291","50% least deprived","824","31%-50% most deprived","1433","50% least deprived","1433","50% least deprived","1789","50% least deprived",
"W01000396","W01000396 - Marford and Hoseley 1","1901","50% least deprived","1857","50% least deprived","1807","50% least deprived","1793","50% least deprived","1858","50% least deprived","1723","50% least deprived","1751","50% least deprived","1700","50% least deprived","1534","50% least deprived",
"W01000397","W01000397 - Marford and Hoseley 2","1908","50% least deprived","1907","50% least deprived","1907","50% least deprived","1896","50% least deprived","1857","50% least deprived","1712","50% least deprived","1841","50% least deprived","1748","50% least deprived","1454","50% least deprived",
"W01000398","W01000398 - Minera 1","1113","50% least deprived","1252","50% least deprived","1287","50% least deprived","1024","50% least deprived","808","31%-50% most deprived","283","11%-20% most deprived","753","31%-50% most deprived","1162","50% least deprived","1694","50% least deprived",
"W01000399","W01000399 - Minera 2","1548","50% least deprived","1789","50% least deprived","1742","50% least deprived","1671","50% least deprived","1768","50% least deprived","266","11%-20% most deprived","458","21%-30% most deprived","1264","50% least deprived","1856","50% least deprived",
"W01000400","W01000400 - New Broughton 1","1033","50% least deprived","760","31%-50% most deprived","1092","50% least deprived","746","31%-50% most deprived","869","31%-50% most deprived","1101","50% least deprived","1258","50% least deprived","600","31%-50% most deprived","1548","50% least deprived",
"W01000401","W01000401 - New Broughton 2","696","31%-50% most deprived","547","21%-30% most deprived","814","31%-50% most deprived","829","31%-50% most deprived","399","21%-30% most deprived","1385","50% least deprived","824","31%-50% most deprived","142","10% most deprived","1876","50% least deprived",
"W01000402","W01000402 - Offa","717","31%-50% most deprived","848","31%-50% most deprived","1014","50% least deprived","894","31%-50% most deprived","864","31%-50% most deprived","1047","50% least deprived","50","10% most deprived","74","10% most deprived","1674","50% least deprived",
"W01000403","W01000403 - Overton 1","1465","50% least deprived","1662","50% least deprived","1827","50% least deprived","1707","50% least deprived","1650","50% least deprived","66","10% most deprived","1154","50% least deprived","1826","50% least deprived","1438","50% least deprived",
"W01000404","W01000404 - Overton 2","1495","50% least deprived","1425","50% least deprived","1637","50% least deprived","1479","50% least deprived","1476","50% least deprived","293","11%-20% most deprived","1111","50% least deprived","1618","50% least deprived","1623","50% least deprived",
"W01000405","W01000405 - Pant","458","21%-30% most deprived","347","11%-20% most deprived","622","31%-50% most deprived","503","21%-30% most deprived","296","11%-20% most deprived","1200","50% least deprived","355","11%-20% most deprived","266","11%-20% most deprived","1706","50% least deprived",
"W01000406","W01000406 - Penycae","341","11%-20% most deprived","320","11%-20% most deprived","390","21%-30% most deprived","402","21%-30% most deprived","177","10% most deprived","711","31%-50% most deprived","507","21%-30% most deprived","527","21%-30% most deprived","1784","50% least deprived",
"W01000407","W01000407 - Penycae and Ruabon South 1","1554","50% least deprived","1744","50% least deprived","1727","50% least deprived","1657","50% least deprived","1528","50% least deprived","336","11%-20% most deprived","1467","50% least deprived","412","21%-30% most deprived","1391","50% least deprived",
"W01000408","W01000408 - Penycae and Ruabon South 2","846","31%-50% most deprived","715","31%-50% most deprived","870","31%-50% most deprived","875","31%-50% most deprived","537","21%-30% most deprived","467","21%-30% most deprived","1356","50% least deprived","954","31%-50% most deprived","1869","50% least deprived",
"W01000409","W01000409 - Plas Madoc","99","10% most deprived","52","10% most deprived","157","10% most deprived","191","10% most deprived","40","10% most deprived","699","31%-50% most deprived","1193","50% least deprived","250","11%-20% most deprived","1393","50% least deprived",
"W01000410","W01000410 - Ponciau 1","997","50% least deprived","916","31%-50% most deprived","930","31%-50% most deprived","996","50% least deprived","772","31%-50% most deprived","1550","50% least deprived","409","21%-30% most deprived","403","21%-30% most deprived","1536","50% least deprived",
"W01000411","W01000411 - Ponciau 2","454","21%-30% most deprived","463","21%-30% most deprived","392","21%-30% most deprived","551","21%-30% most deprived","199","11%-20% most deprived","894","31%-50% most deprived","1412","50% least deprived","274","11%-20% most deprived","1823","50% least deprived",
"W01000412","W01000412 - Ponciau 3","893","31%-50% most deprived","1044","50% least deprived","897","31%-50% most deprived","766","31%-50% most deprived","1037","50% least deprived","391","21%-30% most deprived","577","31%-50% most deprived","492","21%-30% most deprived","1457","50% least deprived",
"W01000413","W01000413 - Queensway 1","9","10% most deprived","9","10% most deprived","43","10% most deprived","64","10% most deprived","1","10% most deprived","354","11%-20% most deprived","602","31%-50% most deprived","10","10% most deprived","866","31%-50% most deprived",
"W01000414","W01000414 - Queensway 2","80","10% most deprived","44","10% most deprived","229","11%-20% most deprived","182","10% most deprived","32","10% most deprived","426","21%-30% most deprived","789","31%-50% most deprived","23","10% most deprived","1685","50% least deprived",
"W01000415","W01000415 - Rhosnesni 1","1535","50% least deprived","1274","50% least deprived","1147","50% least deprived","1466","50% least deprived","1354","50% least deprived","1880","50% least deprived","1791","50% least deprived","341","11%-20% most deprived","1578","50% least deprived",
"W01000416","W01000416 - Rhosnesni 2","1892","50% least deprived","1838","50% least deprived","1846","50% least deprived","1789","50% least deprived","1547","50% least deprived","1818","50% least deprived","1889","50% least deprived","1778","50% least deprived","1332","50% least deprived",
"W01000417","W01000417 - Rossett 1","1805","50% least deprived","1873","50% least deprived","1887","50% least deprived","1719","50% least deprived","1797","50% least deprived","728","31%-50% most deprived","1514","50% least deprived","1812","50% least deprived","1235","50% least deprived",
"W01000418","W01000418 - Rossett 2","1415","50% least deprived","1415","50% least deprived","1471","50% least deprived","1599","50% least deprived","1481","50% least deprived","188","10% most deprived","1302","50% least deprived","1595","50% least deprived","1100","50% least deprived",
"W01000419","W01000419 - Ruabon 1","754","31%-50% most deprived","639","31%-50% most deprived","791","31%-50% most deprived","600","31%-50% most deprived","992","50% least deprived","386","21%-30% most deprived","1512","50% least deprived","693","31%-50% most deprived","969","50% least deprived",
"W01000420","W01000420 - Ruabon 2","1035","50% least deprived","997","50% least deprived","904","31%-50% most deprived","787","31%-50% most deprived","969","50% least deprived","1812","50% least deprived","603","31%-50% most deprived","330","11%-20% most deprived","1245","50% least deprived",
"W01000422","W01000422 - Stansty","1286","50% least deprived","1205","50% least deprived","961","50% least deprived","1009","50% least deprived","961","50% least deprived","1334","50% least deprived","1161","50% least deprived","930","31%-50% most deprived","1447","50% least deprived",
"W01000423","W01000423 - Whitegate 1","599","31%-50% most deprived","710","31%-50% most deprived","859","31%-50% most deprived","622","31%-50% most deprived","307","11%-20% most deprived","572","21%-30% most deprived","1049","50% least deprived","76","10% most deprived","1802","50% least deprived",
"W01000424","W01000424 - Whitegate 2","931","31%-50% most deprived","1005","50% least deprived","1025","50% least deprived","898","31%-50% most deprived","423","21%-30% most deprived","1367","50% least deprived","536","21%-30% most deprived","329","11%-20% most deprived","1772","50% least deprived",
"W01000425","W01000425 - Wynnstay","45","10% most deprived","56","10% most deprived","126","10% most deprived","48","10% most deprived","2","10% most deprived","514","21%-30% most deprived","904","31%-50% most deprived","21","10% most deprived","1604","50% least deprived",
"W01000426","W01000426 - Aber-craf","950","31%-50% most deprived","1007","50% least deprived","655","31%-50% most deprived","616","31%-50% most deprived","1190","50% least deprived","953","31%-50% most deprived","1134","50% least deprived","1209","50% least deprived","617","31%-50% most deprived",
"W01000427","W01000427 - Beguildy","830","31%-50% most deprived","1209","50% least deprived","1364","50% least deprived","1454","50% least deprived","1312","50% least deprived","2","10% most deprived","165","10% most deprived","1601","50% least deprived","1550","50% least deprived",
"W01000428","W01000428 - Berriew","1235","50% least deprived","1551","50% least deprived","1731","50% least deprived","1742","50% least deprived","868","31%-50% most deprived","69","10% most deprived","658","31%-50% most deprived","1706","50% least deprived","1371","50% least deprived",
"W01000429","W01000429 - Blaen Hafren","1281","50% least deprived","1545","50% least deprived","1562","50% least deprived","1845","50% least deprived","1571","50% least deprived","35","10% most deprived","880","31%-50% most deprived","1881","50% least deprived","979","50% least deprived",
"W01000430","W01000430 - Bronllys","1319","50% least deprived","1564","50% least deprived","1597","50% least deprived","1682","50% least deprived","1402","50% least deprived","99","10% most deprived","485","21%-30% most deprived","1466","50% least deprived","1614","50% least deprived",
"W01000431","W01000431 - Builth 1","1122","50% least deprived","1039","50% least deprived","1087","50% least deprived","1342","50% least deprived","834","31%-50% most deprived","740","31%-50% most deprived","389","21%-30% most deprived","1083","50% least deprived","1512","50% least deprived",
"W01000432","W01000432 - Builth 2","1626","50% least deprived","1510","50% least deprived","1658","50% least deprived","1678","50% least deprived","1577","50% least deprived","496","21%-30% most deprived","1867","50% least deprived","1118","50% least deprived","1213","50% least deprived",
"W01000433","W01000433 - Caersws","1094","50% least deprived","1304","50% least deprived","1305","50% least deprived","1550","50% least deprived","1264","50% least deprived","84","10% most deprived","1023","50% least deprived","1841","50% least deprived","296","11%-20% most deprived",
"W01000434","W01000434 - Churchstoke","1047","50% least deprived","1485","50% least deprived","1521","50% least deprived","1203","50% least deprived","958","50% least deprived","65","10% most deprived","444","21%-30% most deprived","1738","50% least deprived","1087","50% least deprived",
"W01000438","W01000438 - Disserth and Trecoed","612","31%-50% most deprived","897","31%-50% most deprived","502","21%-30% most deprived","905","31%-50% most deprived","927","31%-50% most deprived","9","10% most deprived","1684","50% least deprived","1701","50% least deprived","1378","50% least deprived",
"W01000439","W01000439 - Dolforwyn","1432","50% least deprived","1682","50% least deprived","1760","50% least deprived","1662","50% least deprived","1366","50% least deprived","114","10% most deprived","1028","50% least deprived","1895","50% least deprived","889","31%-50% most deprived",
"W01000440","W01000440 - Felin-fâch","1480","50% least deprived","1761","50% least deprived","1752","50% least deprived","1894","50% least deprived","1710","50% least deprived","59","10% most deprived","1731","50% least deprived","1882","50% least deprived","772","31%-50% most deprived",
"W01000441","W01000441 - Forden","1561","50% least deprived","1743","50% least deprived","1815","50% least deprived","1650","50% least deprived","1485","50% least deprived","167","10% most deprived","1209","50% least deprived","1699","50% least deprived","1690","50% least deprived",
"W01000442","W01000442 - Glantwymyn","1097","50% least deprived","1396","50% least deprived","1541","50% least deprived","1469","50% least deprived","1351","50% least deprived","34","10% most deprived","489","21%-30% most deprived","1684","50% least deprived","1167","50% least deprived",
"W01000443","W01000443 - Glasbury","1461","50% least deprived","1694","50% least deprived","1771","50% least deprived","1864","50% least deprived","1679","50% least deprived","73","10% most deprived","1104","50% least deprived","1616","50% least deprived","1099","50% least deprived",
"W01000444","W01000444 - Guilsfield","1545","50% least deprived","1691","50% least deprived","1495","50% least deprived","1745","50% least deprived","1500","50% least deprived","201","11%-20% most deprived","1231","50% least deprived","1886","50% least deprived","1845","50% least deprived",
"W01000445","W01000445 - Gwernyfed","1358","50% least deprived","1575","50% least deprived","1520","50% least deprived","1684","50% least deprived","1384","50% least deprived","107","10% most deprived","711","31%-50% most deprived","1774","50% least deprived","1557","50% least deprived",
"W01000446","W01000446 - Hay","1578","50% least deprived","1258","50% least deprived","1345","50% least deprived","1426","50% least deprived","1543","50% least deprived","1389","50% least deprived","948","31%-50% most deprived","1292","50% least deprived","1724","50% least deprived",
"W01000447","W01000447 - Kerry","1259","50% least deprived","1478","50% least deprived","1713","50% least deprived","1748","50% least deprived","1357","50% least deprived","93","10% most deprived","383","21%-30% most deprived","1423","50% least deprived","956","50% least deprived",
"W01000448","W01000448 - Knighton 1","1161","50% least deprived","999","50% least deprived","1008","50% least deprived","1332","50% least deprived","684","31%-50% most deprived","680","31%-50% most deprived","1346","50% least deprived","1009","50% least deprived","1737","50% least deprived",
"W01000449","W01000449 - Knighton 2","1417","50% least deprived","1350","50% least deprived","1222","50% least deprived","1351","50% least deprived","1138","50% least deprived","1025","50% least deprived","853","31%-50% most deprived","947","31%-50% most deprived","1282","50% least deprived",
"W01000450","W01000450 - Llanafanfawr","1307","50% least deprived","1786","50% least deprived","1770","50% least deprived","1734","50% least deprived","1525","50% least deprived","72","10% most deprived","293","11%-20% most deprived","1606","50% least deprived","1034","50% least deprived",
"W01000451","W01000451 - Llanbadarn Fawr","1288","50% least deprived","1334","50% least deprived","1523","50% least deprived","1465","50% least deprived","1221","50% least deprived","94","10% most deprived","1574","50% least deprived","1592","50% least deprived","1174","50% least deprived",
"W01000452","W01000452 - Llanbrynmair & Banwy","882","31%-50% most deprived","1311","50% least deprived","1154","50% least deprived","1340","50% least deprived","1443","50% least deprived","8","10% most deprived","289","11%-20% most deprived","1792","50% least deprived","1443","50% least deprived",
"W01000453","W01000453 - Llandinam","1263","50% least deprived","1687","50% least deprived","1802","50% least deprived","1857","50% least deprived","1236","50% least deprived","31","10% most deprived","639","31%-50% most deprived","1670","50% least deprived","947","31%-50% most deprived",
"W01000454","W01000454 - Llandrindod East/Llandrindod West","378","11%-20% most deprived","400","21%-30% most deprived","133","10% most deprived","550","21%-30% most deprived","712","31%-50% most deprived","1129","50% least deprived","1063","50% least deprived","99","10% most deprived","1345","50% least deprived",
"W01000455","W01000455 - Llandrindod North","769","31%-50% most deprived","558","21%-30% most deprived","719","31%-50% most deprived","784","31%-50% most deprived","527","21%-30% most deprived","1015","50% least deprived","1181","50% least deprived","820","31%-50% most deprived","1560","50% least deprived",
"W01000456","W01000456 - Llandrindod South","701","31%-50% most deprived","875","31%-50% most deprived","477","21%-30% most deprived","977","50% least deprived","997","50% least deprived","163","10% most deprived","1425","50% least deprived","885","31%-50% most deprived","656","31%-50% most deprived",
"W01000457","W01000457 - Llandrinio","1368","50% least deprived","1629","50% least deprived","1743","50% least deprived","1722","50% least deprived","1677","50% least deprived","89","10% most deprived","1577","50% least deprived","1806","50% least deprived","184","10% most deprived",
"W01000458","W01000458 - Llandysilio","1399","50% least deprived","1467","50% least deprived","1592","50% least deprived","1388","50% least deprived","1610","50% least deprived","235","11%-20% most deprived","1306","50% least deprived","1158","50% least deprived","532","21%-30% most deprived",
"W01000459","W01000459 - Llanelwedd","1027","50% least deprived","1348","50% least deprived","1478","50% least deprived","1762","50% least deprived","1332","50% least deprived","22","10% most deprived","560","21%-30% most deprived","1093","50% least deprived","789","31%-50% most deprived",
"W01000460","W01000460 - Llanfair Caereinion","1199","50% least deprived","1288","50% least deprived","1535","50% least deprived","1503","50% least deprived","1422","50% least deprived","111","10% most deprived","361","11%-20% most deprived","1617","50% least deprived","1418","50% least deprived",
"W01000461","W01000461 - Llanfyllin","888","31%-50% most deprived","952","31%-50% most deprived","928","31%-50% most deprived","1310","50% least deprived","1130","50% least deprived","185","10% most deprived","749","31%-50% most deprived","1048","50% least deprived","355","11%-20% most deprived",
"W01000464","W01000464 - Llangunllo","1154","50% least deprived","1422","50% least deprived","1781","50% least deprived","1825","50% least deprived","1492","50% least deprived","17","10% most deprived","413","21%-30% most deprived","1816","50% least deprived","1178","50% least deprived",
"W01000465","W01000465 - Llangynidr","1605","50% least deprived","1723","50% least deprived","1852","50% least deprived","1835","50% least deprived","1838","50% least deprived","243","11%-20% most deprived","591","31%-50% most deprived","1789","50% least deprived","1778","50% least deprived",
"W01000466","W01000466 - Llanidloes 1","1532","50% least deprived","1124","50% least deprived","1164","50% least deprived","1636","50% least deprived","1113","50% least deprived","1577","50% least deprived","1795","50% least deprived","1270","50% least deprived","1189","50% least deprived",
"W01000467","W01000467 - Llanidloes 2","1536","50% least deprived","1217","50% least deprived","1056","50% least deprived","1413","50% least deprived","1474","50% least deprived","1719","50% least deprived","1103","50% least deprived","1119","50% least deprived","1826","50% least deprived",
"W01000470","W01000470 - Llansantffraid","1313","50% least deprived","1372","50% least deprived","1638","50% least deprived","1385","50% least deprived","1280","50% least deprived","166","10% most deprived","592","31%-50% most deprived","1671","50% least deprived","1514","50% least deprived",
"W01000471","W01000471 - Llanwrtyd Wells","1010","50% least deprived","1330","50% least deprived","1040","50% least deprived","1679","50% least deprived","1250","50% least deprived","81","10% most deprived","394","21%-30% most deprived","1350","50% least deprived","985","50% least deprived",
"W01000472","W01000472 - Llanyre","1436","50% least deprived","1561","50% least deprived","1453","50% least deprived","1304","50% least deprived","1308","50% least deprived","267","11%-20% most deprived","1032","50% least deprived","1898","50% least deprived","1556","50% least deprived",
"W01000473","W01000473 - Machynlleth","1240","50% least deprived","1052","50% least deprived","1062","50% least deprived","830","31%-50% most deprived","1009","50% least deprived","981","50% least deprived","1403","50% least deprived","1191","50% least deprived","1585","50% least deprived",
"W01000474","W01000474 - Maescar/Llywel","1241","50% least deprived","1595","50% least deprived","1563","50% least deprived","1495","50% least deprived","1480","50% least deprived","43","10% most deprived","874","31%-50% most deprived","1496","50% least deprived","1049","50% least deprived",
"W01000475","W01000475 - Meifod & Llanfihangel","1104","50% least deprived","1397","50% least deprived","1620","50% least deprived","1730","50% least deprived","1453","50% least deprived","38","10% most deprived","206","11%-20% most deprived","1848","50% least deprived","1269","50% least deprived",
"W01000476","W01000476 - Montgomery","1577","50% least deprived","1615","50% least deprived","1631","50% least deprived","1444","50% least deprived","1563","50% least deprived","797","31%-50% most deprived","448","21%-30% most deprived","1856","50% least deprived","1333","50% least deprived",
"W01000477","W01000477 - Nantmel","1098","50% least deprived","1340","50% least deprived","1600","50% least deprived","1600","50% least deprived","1477","50% least deprived","21","10% most deprived","501","21%-30% most deprived","1560","50% least deprived","1263","50% least deprived",
"W01000478","W01000478 - Newtown Central 1","412","21%-30% most deprived","336","11%-20% most deprived","434","21%-30% most deprived","303","11%-20% most deprived","322","11%-20% most deprived","554","21%-30% most deprived","1618","50% least deprived","435","21%-30% most deprived","1677","50% least deprived",
"W01000479","W01000479 - Newtown Central 2","512","21%-30% most deprived","427","21%-30% most deprived","745","31%-50% most deprived","475","21%-30% most deprived","204","11%-20% most deprived","906","31%-50% most deprived","1325","50% least deprived","401","21%-30% most deprived","1449","50% least deprived",
"W01000480","W01000480 - Newtown East","379","11%-20% most deprived","549","21%-30% most deprived","428","21%-30% most deprived","637","31%-50% most deprived","331","11%-20% most deprived","355","11%-20% most deprived","681","31%-50% most deprived","31","10% most deprived","660","31%-50% most deprived",
"W01000481","W01000481 - Newtown Llanllwchaiarn North","1470","50% least deprived","1445","50% least deprived","1561","50% least deprived","1337","50% least deprived","1520","50% least deprived","363","11%-20% most deprived","1673","50% least deprived","1321","50% least deprived","654","31%-50% most deprived",
"W01000482","W01000482 - Newtown Llanllwchaiarn West","1315","50% least deprived","1427","50% least deprived","1219","50% least deprived","1578","50% least deprived","1468","50% least deprived","279","11%-20% most deprived","828","31%-50% most deprived","810","31%-50% most deprived","1112","50% least deprived",
"W01000483","W01000483 - Newtown South","284","11%-20% most deprived","304","11%-20% most deprived","268","11%-20% most deprived","335","11%-20% most deprived","305","11%-20% most deprived","459","21%-30% most deprived","925","31%-50% most deprived","206","11%-20% most deprived","892","31%-50% most deprived",
"W01000484","W01000484 - Old Radnor","1219","50% least deprived","1516","50% least deprived","1606","50% least deprived","1782","50% least deprived","1517","50% least deprived","60","10% most deprived","351","11%-20% most deprived","1316","50% least deprived","1208","50% least deprived",
"W01000485","W01000485 - Presteigne 1","1380","50% least deprived","1402","50% least deprived","1460","50% least deprived","1292","50% least deprived","1363","50% least deprived","213","11%-20% most deprived","1672","50% least deprived","1757","50% least deprived","853","31%-50% most deprived",
"W01000486","W01000486 - Presteigne 2","1438","50% least deprived","1134","50% least deprived","1261","50% least deprived","1091","50% least deprived","1446","50% least deprived","962","50% least deprived","1316","50% least deprived","1138","50% least deprived","1543","50% least deprived",
"W01000487","W01000487 - Rhayader","1068","50% least deprived","1021","50% least deprived","1043","50% least deprived","1079","50% least deprived","832","31%-50% most deprived","322","11%-20% most deprived","1352","50% least deprived","1192","50% least deprived","1639","50% least deprived",
"W01000488","W01000488 - Rhiwcynon","1304","50% least deprived","1607","50% least deprived","1758","50% least deprived","1759","50% least deprived","1282","50% least deprived","52","10% most deprived","632","31%-50% most deprived","1851","50% least deprived","1254","50% least deprived",
"W01000489","W01000489 - St. David Within","1137","50% least deprived","1094","50% least deprived","1007","50% least deprived","1028","50% least deprived","1202","50% least deprived","735","31%-50% most deprived","973","50% least deprived","1054","50% least deprived","506","21%-30% most deprived",
"W01000492","W01000492 - St. Mary 1","1063","50% least deprived","1225","50% least deprived","1260","50% least deprived","1309","50% least deprived","1463","50% least deprived","1556","50% least deprived","89","10% most deprived","105","10% most deprived","525","21%-30% most deprived",
"W01000493","W01000493 - St. Mary 2","1687","50% least deprived","1757","50% least deprived","1774","50% least deprived","1817","50% least deprived","1227","50% least deprived","659","31%-50% most deprived","1361","50% least deprived","1370","50% least deprived","1411","50% least deprived",
"W01000494","W01000494 - Talgarth","1341","50% least deprived","1418","50% least deprived","1315","50% least deprived","1245","50% least deprived","1606","50% least deprived","203","11%-20% most deprived","1095","50% least deprived","1151","50% least deprived","1587","50% least deprived",
"W01000496","W01000496 - Tawe-Uchaf","847","31%-50% most deprived","928","31%-50% most deprived","840","31%-50% most deprived","955","31%-50% most deprived","1139","50% least deprived","159","10% most deprived","540","21%-30% most deprived","1262","50% least deprived","1410","50% least deprived",
"W01000497","W01000497 - Trewern","1247","50% least deprived","1605","50% least deprived","1709","50% least deprived","1695","50% least deprived","1279","50% least deprived","50","10% most deprived","497","21%-30% most deprived","1835","50% least deprived","1081","50% least deprived",
"W01000498","W01000498 - Welshpool Castle","292","11%-20% most deprived","259","11%-20% most deprived","527","21%-30% most deprived","675","31%-50% most deprived","184","10% most deprived","179","10% most deprived","408","21%-30% most deprived","144","10% most deprived","1626","50% least deprived",
"W01000499","W01000499 - Welshpool Gungrog 1","563","21%-30% most deprived","621","31%-50% most deprived","668","31%-50% most deprived","608","31%-50% most deprived","492","21%-30% most deprived","793","31%-50% most deprived","201","11%-20% most deprived","347","11%-20% most deprived","1568","50% least deprived",
"W01000500","W01000500 - Welshpool Gungrog 2","1093","50% least deprived","1053","50% least deprived","1110","50% least deprived","1290","50% least deprived","884","31%-50% most deprived","218","11%-20% most deprived","1314","50% least deprived","1239","50% least deprived","1517","50% least deprived",
"W01000501","W01000501 - Welshpool Llanerchyddol","1125","50% least deprived","1095","50% least deprived","1075","50% least deprived","1416","50% least deprived","822","31%-50% most deprived","393","21%-30% most deprived","806","31%-50% most deprived","1094","50% least deprived","1437","50% least deprived",
"W01000502","W01000502 - Ynyscedwyn","1198","50% least deprived","1153","50% least deprived","726","31%-50% most deprived","895","31%-50% most deprived","1511","50% least deprived","1402","50% least deprived","1397","50% least deprived","834","31%-50% most deprived","596","31%-50% most deprived",
"W01000503","W01000503 - Yscir","1264","50% least deprived","1558","50% least deprived","1831","50% least deprived","1875","50% least deprived","1757","50% least deprived","19","10% most deprived","728","31%-50% most deprived","1837","50% least deprived","566","21%-30% most deprived",
"W01000504","W01000504 - Ystradgynlais 1","117","10% most deprived","147","10% most deprived","24","10% most deprived","105","10% most deprived","263","11%-20% most deprived","731","31%-50% most deprived","1347","50% least deprived","489","21%-30% most deprived","1860","50% least deprived",
"W01000505","W01000505 - Ystradgynlais 2","821","31%-50% most deprived","915","31%-50% most deprived","712","31%-50% most deprived","711","31%-50% most deprived","1147","50% least deprived","296","11%-20% most deprived","1187","50% least deprived","918","31%-50% most deprived","724","31%-50% most deprived",
"W01000506","W01000506 - Aberaeron","1257","50% least deprived","941","31%-50% most deprived","1064","50% least deprived","1251","50% least deprived","1423","50% least deprived","1715","50% least deprived","439","21%-30% most deprived","617","31%-50% most deprived","1019","50% least deprived",
"W01000507","W01000507 - Aberporth 1","1213","50% least deprived","1471","50% least deprived","1169","50% least deprived","1644","50% least deprived","1545","50% least deprived","132","10% most deprived","312","11%-20% most deprived","1531","50% least deprived","1816","50% least deprived",
"W01000508","W01000508 - Aberporth 2","871","31%-50% most deprived","661","31%-50% most deprived","754","31%-50% most deprived","1261","50% least deprived","906","31%-50% most deprived","485","21%-30% most deprived","363","11%-20% most deprived","1579","50% least deprived","1898","50% least deprived",
"W01000509","W01000509 - Aberteifi/Cardigan - Mwldan","899","31%-50% most deprived","756","31%-50% most deprived","601","31%-50% most deprived","1007","50% least deprived","886","31%-50% most deprived","483","21%-30% most deprived","1585","50% least deprived","1163","50% least deprived","1770","50% least deprived",
"W01000510","W01000510 - Aberteifi/Cardigan - Rhyd-y-Fuwch","370","11%-20% most deprived","340","11%-20% most deprived","101","10% most deprived","641","31%-50% most deprived","1046","50% least deprived","1167","50% least deprived","393","21%-30% most deprived","321","11%-20% most deprived","1708","50% least deprived",
"W01000511","W01000511 - Aberteifi/Cardigan - Teifi","125","10% most deprived","66","10% most deprived","117","10% most deprived","383","21%-30% most deprived","663","31%-50% most deprived","333","11%-20% most deprived","115","10% most deprived","127","10% most deprived","683","31%-50% most deprived",
